"name","phone","company","flags"
"Lily Wood","","Westfield Services","missing_phone"
"Freddie Wood","07946 784264","Redwood Consulting",""
"Noah Thompson","07710 992921","Silverbridge Group",""
"Mia Jones","07800 590136","Fairfax Logistics",""
"Mia Wood","07103 645679","Pemberton & Co",""
"Mia Wright","07436 131116","Elmwood Advisory",""
"James Roberts","07559 784161","Vantage Partners",""
"Sophie Thompson","07602 430609","Northgate Technologies",""
"","07279 296123","Silverbridge Group","missing_name"
"Freddie White","07608 639741","Silverbridge Group",""
"Emily Thompson","07709 538562","Yarrow Innovations",""
"Sophie Lewis","07450 596713","Silverbridge Group",""
"Charlie Green","07590 681877","Northgate Technologies",""
"Alfie Evans","07858 924682","Yarrow Innovations",""
"James Wood","07850 667975","","missing_company"
"Harry Brown","07682 573496","Northgate Technologies",""
"Jacob Thomas","07635 184411","Westfield Services",""
"Isabella Thomas","07329 792990","Elmwood Advisory",""
"Charlie Thomas","07843 136778","Vantage Partners",""
"George White","07908 594116","Vantage Partners",""
"Jack Harris","07530 308263","Tandem Digital",""
"Ava Wright","07537 902757","Apex Solutions Ltd",""
"Grace Johnson","07164 996768","Tandem Digital",""
"Charlie Harris","07636 101498","Westfield Services",""
"Charlie Roberts","07776 635968","Tandem Digital",""
"Lily Lewis","07728 433632","Silverbridge Group",""
"Jacob Thompson","07911 803176","Yarrow Innovations",""
"Grace Williams","07432 263271","Elmwood Advisory",""
"Harry Wood","07564 525690","Yarrow Innovations",""
"Alfie White","07124 248884","Silverbridge Group",""
"Oliver Walker","07769 606748","Fairfax Logistics",""
"Charlie Green","","Vantage Partners","missing_phone"
"Ella Jones","07223 638845","Yarrow Innovations",""
"Jack Walker","007888636606","Silverbridge Group","unfixable_phone"
"Oliver Harris","007458783379","Vantage Partners","unfixable_phone"
"Mia Hall","07756 575774","Pemberton & Co",""
"Olivia Wood","07132 127169","Pemberton & Co",""
"Emily Davies","07434 821649","Unity Systems",""
"Noah Wilson","07431 741663","Fairfax Logistics",""
"Lily Hall","07795 613219","Northgate Technologies",""
"Alfie Williams","07840 878109","Redwood Consulting",""
"Ella Walker","07441 474435","Apex Solutions Ltd",""
"Ava Thompson","07404 816418","Northgate Technologies",""
"Freddie Jones","07248 746798","Westfield Services",""
"Lily Hall","07771 190215","Apex Solutions Ltd",""
"Isabella Jones","07547 109440","Tandem Digital",""
"Jacob Lewis","07429 780319","Tandem Digital",""
